"variable","decade","years_asked"
"acqntsex","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"acqntsex","2000s","2000, 2002, 2004, 2006, 2008"
"acqntsex","2010s","2010, 2012, 2014, 2016, 2018"
"acqntsex","2020s","2021, 2022"
"pikupsex","1980s","1988, 1989"
"pikupsex","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"pikupsex","2000s","2000, 2002, 2004, 2006, 2008"
"pikupsex","2010s","2010, 2012, 2014, 2016, 2018"
"pikupsex","2020s","2021, 2022"
"paidsex","1980s","1988, 1989"
"paidsex","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"paidsex","2000s","2000, 2002, 2004, 2006, 2008"
"paidsex","2010s","2010, 2012, 2014, 2016, 2018"
"paidsex","2020s","2021, 2022"
"othersex","1980s","1988, 1989"
"othersex","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"othersex","2000s","2000, 2002, 2004, 2006, 2008"
"othersex","2010s","2010, 2012, 2014, 2016, 2018"
"othersex","2020s","2021, 2022"
"sexsex","1980s","1988, 1989"
"sexsex","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"sexsex","2000s","2000, 2002, 2004, 2006, 2008"
"sexsex","2010s","2010, 2012, 2014, 2016, 2018"
"sexsex","2020s","2021, 2022, 2024"
"sexfreq","1980s","1989"
"sexfreq","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"sexfreq","2000s","2000, 2002, 2004, 2006, 2008"
"sexfreq","2010s","2010, 2012, 2014, 2016, 2018"
"sexfreq","2020s","2021, 2022, 2024"
"sexfreq1","1990s","1990"
"partnrs5","1990s","1991, 1993, 1994, 1996, 1998"
"partnrs5","2000s","2000, 2002, 2004, 2006, 2008"
"partnrs5","2010s","2010, 2012, 2014, 2016, 2018"
"partnrs5","2020s","2021, 2022"
"sexsex5","1990s","1991, 1993, 1994, 1996, 1998"
"sexsex5","2000s","2000, 2002, 2004, 2006, 2008"
"sexsex5","2010s","2010, 2012, 2014, 2016, 2018"
"sexsex5","2020s","2021, 2022"
"evpaidsx","1990s","1991, 1993, 1994, 1996, 1998"
"evpaidsx","2000s","2000, 2002, 2004, 2006, 2008"
"evpaidsx","2010s","2010, 2012, 2014, 2016, 2018"
"evpaidsx","2020s","2021, 2022"
"evstray","1990s","1991, 1993, 1994, 1996, 1998"
"evstray","2000s","2000, 2002, 2004, 2006, 2008"
"evstray","2010s","2010, 2012, 2014, 2016, 2018"
"evstray","2020s","2021, 2022"
"condom","1990s","1996, 1998"
"condom","2000s","2000, 2002, 2004, 2006, 2008"
"condom","2010s","2010, 2012, 2014, 2016, 2018"
"condom","2020s","2021, 2022"
"relatsex","1990s","1996, 1998"
"relatsex","2000s","2000, 2002, 2004, 2006, 2008"
"relatsex","2010s","2010, 2012, 2014, 2016, 2018"
"relatsex","2020s","2021, 2022"
"evidu","2000s","2000, 2002, 2004, 2006, 2008"
"evidu","2010s","2010, 2012, 2014, 2016, 2018"
"evidu","2020s","2021, 2022"
"idu30","2000s","2000, 2002, 2004, 2006, 2008"
"idu30","2010s","2010, 2012, 2014, 2016, 2018"
"idu30","2020s","2021, 2022"
"evcrack","2000s","2000, 2002, 2004, 2006, 2008"
"evcrack","2010s","2010, 2012, 2014, 2016, 2018"
"evcrack","2020s","2021, 2022"
"crack30","2000s","2000, 2002, 2004, 2006, 2008"
"crack30","2010s","2010, 2012, 2014, 2016, 2018"
"crack30","2020s","2021, 2022"
"hivtest","2000s","2006, 2008"
"hivtest","2010s","2010, 2012, 2014, 2016, 2018"
"hivtest","2020s","2021, 2022, 2024"
"hivtest2","2000s","2006, 2008"
"hivtest2","2010s","2010, 2012, 2014, 2016, 2018"
"hivtest2","2020s","2021, 2022, 2024"
"aidslook","2010s","2014"
"aidscndm","2010s","2014"
"hivvac","2010s","2014"
"hivkiss","2010s","2014"
"sexornt","2000s","2008"
"sexornt","2010s","2010, 2012, 2014, 2016, 2018"
"sexornt","2020s","2021, 2022, 2024"
"sexbirth","2010s","2018"
"sexnow","2010s","2018"
"genetest","1990s","1990, 1996"
"genetst1","1990s","1996"
"genetst1","2000s","2004"
"genetst1","2010s","2018"
"genegood","1990s","1990, 1996"
"genegoo2","2000s","2004"
"genegoo2","2010s","2018"
"geneself","1990s","1990, 1996"
"geneself","2000s","2004"
"geneabrt","1990s","1990, 1996"
"geneabrt","2000s","2004"
"maleornt","2010s","2018"
"geneself2","2010s","2018"
"geneabrt2","2010s","2018"
"parhardr","1990s","1990"
"parworse","1990s","1990"
"parrght","1990s","1990"
"parwhere","1990s","1990"
"parfin","1990s","1990"
"pargovt","1990s","1990"
"partime","1990s","1990"
"parwork","1990s","1990"
"partaxes","1990s","1990"
"rolema","1990s","1990"
"rolepa","1990s","1990"
"rolegp","1990s","1990"
"roleccp","1990s","1990"
"roletchr","1990s","1990"
"roleclrg","1990s","1990"
"chldeduc","1990s","1990"
"chldlove","1990s","1990"
"chldsafe","1990s","1990"
"chldmorl","1990s","1990"
"chldsup","1990s","1990"
"chldhome","1990s","1990"
"chldhlth","1990s","1990"
"chldskls","1990s","1990"
"chldtime","1990s","1990"
"inffilms","1990s","1990"
"infpubtv","1990s","1990"
"infnettv","1990s","1990"
"infadstv","1990s","1990"
"infmusic","1990s","1990"
"sppregnt","1990s","1990"
"sphlthkd","1990s","1990"
"spheadst","1990s","1990"
"sppoorkd","1990s","1990"
"spwrkpar","1990s","1990"
"sphomekd","1990s","1990"
"spdsabkd","1990s","1990"
"spdrugs","1990s","1990"
"spfoodkd","1990s","1990"
"sppill","1990s","1990"
"hlth1","1990s","1991"
"hlth1","2000s","2004"
"hlth2","1990s","1991"
"hlth2","2000s","2004"
"hlth3","1990s","1991"
"hlth3","2000s","2004"
"hlth4","1990s","1991"
"hlth4","2000s","2004"
"hlth5","1990s","1991"
"hlth5","2000s","2004"
"hlth6","1990s","1991"
"hlth6","2000s","2004"
"hlth7","1990s","1991"
"hlth7","2000s","2004"
"hlth8","1990s","1991"
"hlth8","2000s","2004"
"hlth9","1990s","1991"
"hlth9","2000s","2004"
"hlth10","2000s","2004"
"hlth11","2000s","2004"
"hlth12","2000s","2004"
"hlth13","2000s","2004"
"hlth14","2000s","2004"
"work1","1990s","1991"
"work1","2000s","2004"
"work2","1990s","1991"
"work2","2000s","2004"
"work3","1990s","1991"
"work3","2000s","2004"
"work4","1990s","1991"
"work4","2000s","2004"
"work5","1990s","1991"
"work5","2000s","2004"
"work6","1990s","1991"
"work6","2000s","2004"
"work7","1990s","1991"
"work7","2000s","2004"
"work8","1990s","1991"
"work8","2000s","2004"
"work9","1990s","1991"
"work9","2000s","2004"
"work10","2000s","2004"
"finan1","1990s","1991"
"finan1","2000s","2004"
"finan2","1990s","1991"
"finan2","2000s","2004"
"finan3","1990s","1991"
"finan3","2000s","2004"
"finan4","1990s","1991"
"finan4","2000s","2004"
"finan5","1990s","1991"
"finan5","2000s","2004"
"hrdshp1","1990s","1991"
"hrdshp1","2000s","2004"
"hrdshp2","1990s","1991"
"hrdshp2","2000s","2004"
"hrdshp3","1990s","1991"
"hrdshp3","2000s","2004"
"hrdshp4","1990s","1991"
"hrdshp4","2000s","2004"
"hrdshp5","1990s","1991"
"hrdshp5","2000s","2004"
"hrdshp6","1990s","1991"
"hrdshp6","2000s","2004"
"hrdshp7","1990s","1991"
"hrdshp7","2000s","2004"
"famper1","1990s","1991"
"famper1","2000s","2004"
"famper2","1990s","1991"
"famper2","2000s","2004"
"famper3","1990s","1991"
"famper3","2000s","2004"
"famper4","1990s","1991"
"famper4","2000s","2004"
"famper5","1990s","1991"
"famper5","2000s","2004"
"famper6","2000s","2004"
"law1","1990s","1991"
"law1","2000s","2004"
"law2","1990s","1991"
"law2","2000s","2004"
"law3","1990s","1991"
"law3","2000s","2004"
"law4","1990s","1991"
"law4","2000s","2004"
"law5","1990s","1991"
"law5","2000s","2004"
"law6","1990s","1991"
"law6","2000s","2004"
"law7","1990s","1991"
"law7","2000s","2004"
"live1","1990s","1991"
"live1","2000s","2004"
"live2","1990s","1991"
"live2","2000s","2004"
"live3","1990s","1991"
"live3","2000s","2004"
"live4","1990s","1991"
"live4","2000s","2004"
"oth1","1990s","1991"
"oth1","2000s","2004"
"oth2","1990s","1991"
"oth2","2000s","2004"
"oth3","1990s","1991"
"oth3","2000s","2004"
"oth4","1990s","1991"
"oth4","2000s","2004"
"oth5","1990s","1991"
"oth5","2000s","2004"
"povline","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"povline","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"povline","1990s","1990, 1991, 1993"
"incdef","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"incdef","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"incdef","1990s","1990, 1991, 1993"
"sectech","1990s","1994, 1996, 1998"
"secdocs","1990s","1994, 1996, 1998"
"rptcowrk","1990s","1994"
"askfinan","1990s","1994, 1996, 1998"
"askfinan","2000s","2000"
"askcrime","1990s","1994, 1996, 1998"
"askcrime","2000s","2000"
"askdrugs","1990s","1994, 1996, 1998"
"askdrugs","2000s","2000"
"askmentl","1990s","1994, 1996, 1998"
"askmentl","2000s","2000"
"askforgn","1990s","1994, 1996, 1998"
"askforgn","2000s","2000"
"askdrink","1990s","1994, 1996, 1998"
"askdrink","2000s","2000"
"asksexor","1990s","1994, 1996, 1998"
"asksexor","2000s","2000"
"askfrbiz","2000s","2000"
"askfrtrv","2000s","2000"
"askcomp","2000s","2000"
"secprvcy","1990s","1994"
"secdiplo","1990s","1996, 1998"
"secmilop","1990s","1996, 1998"
"secterr","1990s","1996, 1998"
"secbudgt","1990s","1996, 1998"
"chkfinan","1990s","1996, 1998"
"chkspfin","1990s","1996, 1998"
"chktaxes","1990s","1996, 1998"
"knomentl","1990s","1996, 1998"
"knomentl","2000s","2000"
"takearms","1990s","1998"
"leakinfo","1990s","1998"
"spyenemy","1990s","1998"
"spyfrend","1990s","1998"
"taketrck","1990s","1998"
"punarms","2000s","2000"
"punleak","2000s","2000"
"punenmy","2000s","2000"
"punfrnd","2000s","2000"
"puntrck","2000s","2000"
"comsteal","2000s","2000"
"comdata","2000s","2000"
"comsys","2000s","2000"
"comsnoop","2000s","2000"
"comemail","2000s","2000"
"comporn","2000s","2000"
"lietest","1990s","1998"
"lietest","2000s","2000"
"testdrug","1990s","1998"
"testdrug","2000s","2000"
"bugging","1990s","1998"
"finanqs","1990s","1998"
"finanqs","2000s","2000"
"chkonjob","1990s","1998"
"chkother","1990s","1998"
"compfin","2000s","2000"
"chktravl","2000s","2000"
"emailwrk","2000s","2000"
"emailhme","2000s","2000"
"tapwrk","2000s","2000"
"taphme","2000s","2000"
"srchwrk","2000s","2000"
"camwrk","2000s","2000"
"usspy","2000s","2000"
"forspy","2000s","2000"
"usterror","2000s","2000"
"frterror","2000s","2000"
"forsteal","2000s","2000"
"nuclrwar","2000s","2000"
"ethnum","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"ethnum","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"ethnum","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"ethnum","2000s","2000, 2002, 2004, 2006, 2008"
"ethnum","2010s","2010, 2012, 2014, 2016, 2018"
"spethnum","1980s","1985, 1986, 1987, 1988, 1989"
"spethnum","1990s","1990, 1991, 1993, 1994"
"racedbtf","1990s","1996"
"racedbtf","2000s","2000"
"raceself","1990s","1996"
"raceself","2000s","2000"
"hispanic","2000s","2000, 2002, 2004, 2006, 2008"
"hispanic","2010s","2010, 2012, 2014, 2016, 2018"
"hispanic","2020s","2021, 2022, 2024"
"racethas","2010s","2016"
"racethot","2010s","2016"
"uscitzn","2000s","2008"
"uscitzn","2010s","2010, 2012, 2014, 2016, 2018"
"uscitzn","2020s","2021, 2022, 2024"
"fucitzn","2000s","2008"
"fucitzn","2010s","2010, 2012, 2014, 2016, 2018"
"fucitzn","2020s","2022"
"vetyears","1970s","1974, 1975, 1977, 1978"
"vetyears","1980s","1982, 1983, 1984, 1985, 1988, 1989"
"vetyears","1990s","1990, 1991, 1993, 1994"
"vetyears","2010s","2010, 2012, 2014, 2016, 2018"
"vetyears","2020s","2021, 2022, 2024"
"vetkind","1970s","1974, 1975, 1977, 1978"
"vetkind","1980s","1982, 1983, 1984"
"workdy","1970s","1972"
"workhr","1970s","1972"
"spdays","1970s","1972"
"sphour","1970s","1972"
"dwelling","1980s","1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"dwelling","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"dwelling","2000s","2000, 2002, 2004, 2006, 2008"
"dwelling","2010s","2010, 2012, 2014, 2016, 2018"
"dwelling","2020s","2022, 2024"
"dwelngh","1980s","1982, 1983, 1984"
"dwelcity","1980s","1982, 1983, 1984"
"dwelown","1980s","1985, 1986, 1987, 1988, 1989"
"dwelown","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"dwelown","2000s","2000, 2002, 2004, 2006, 2008"
"dwelown","2010s","2010, 2012, 2014, 2016, 2018"
"dwelown","2020s","2021, 2022, 2024"
"dwelown16","2010s","2018"
"dwelown16","2020s","2021, 2022, 2024"
"worda","1970s","1974, 1976, 1978"
"worda","1980s","1982, 1984, 1987, 1988, 1989"
"worda","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"worda","2000s","2000, 2004, 2006, 2008"
"worda","2010s","2010, 2012, 2014, 2016, 2018"
"worda","2020s","2022, 2024"
"wordb","1970s","1974, 1976, 1978"
"wordb","1980s","1982, 1984, 1987, 1988, 1989"
"wordb","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wordb","2000s","2000, 2004, 2006, 2008"
"wordb","2010s","2010, 2012, 2014, 2016, 2018"
"wordb","2020s","2022, 2024"
"wordc","1970s","1974, 1976, 1978"
"wordc","1980s","1982, 1984, 1987, 1988, 1989"
"wordc","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wordc","2000s","2000, 2004, 2006, 2008"
"wordc","2010s","2010, 2012, 2014, 2016, 2018"
"wordc","2020s","2022, 2024"
"wordd","1970s","1974, 1976, 1978"
"wordd","1980s","1982, 1984, 1987, 1988, 1989"
"wordd","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wordd","2000s","2000, 2004, 2006, 2008"
"wordd","2010s","2010, 2012, 2014, 2016, 2018"
"wordd","2020s","2022, 2024"
"worde","1970s","1974, 1976, 1978"
"worde","1980s","1982, 1984, 1987, 1988, 1989"
"worde","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"worde","2000s","2000, 2004, 2006, 2008"
"worde","2010s","2010, 2012, 2014, 2016, 2018"
"worde","2020s","2022, 2024"
"wordf","1970s","1974, 1976, 1978"
"wordf","1980s","1982, 1984, 1987, 1988, 1989"
"wordf","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wordf","2000s","2000, 2004, 2006, 2008"
"wordf","2010s","2010, 2012, 2014, 2016, 2018"
"wordf","2020s","2022, 2024"
"wordg","1970s","1974, 1976, 1978"
"wordg","1980s","1982, 1984, 1987, 1988, 1989"
"wordg","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wordg","2000s","2000, 2004, 2006, 2008"
"wordg","2010s","2010, 2012, 2014, 2016, 2018"
"wordg","2020s","2022, 2024"
"wordh","1970s","1974, 1976, 1978"
"wordh","1980s","1982, 1984, 1987, 1988, 1989"
"wordh","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wordh","2000s","2000, 2004, 2006, 2008"
"wordh","2010s","2010, 2012, 2014, 2016, 2018"
"wordh","2020s","2022, 2024"
"wordi","1970s","1974, 1976, 1978"
"wordi","1980s","1982, 1984, 1987, 1988, 1989"
"wordi","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wordi","2000s","2000, 2004, 2006, 2008"
"wordi","2010s","2010, 2012, 2014, 2016, 2018"
"wordi","2020s","2022, 2024"
"wordj","1970s","1974, 1976, 1978"
"wordj","1980s","1982, 1984, 1987, 1988, 1989"
"wordj","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wordj","2000s","2000, 2004, 2006, 2008"
"wordj","2010s","2010, 2012, 2014, 2016, 2018"
"wordj","2020s","2022, 2024"
"godoc","1990s","1996, 1998"
"eatout","1990s","1996, 1998"
"seefilm","1990s","1996, 1998"
"attrelig","1990s","1996, 1998"
"numdays","1990s","1996, 1998"
"sunday","1990s","1996, 1998"
"monday","1990s","1996, 1998"
"tuesday","1990s","1996, 1998"
"wednesdy","1990s","1996, 1998"
"thursday","1990s","1996, 1998"
"friday","1990s","1996, 1998"
"saturday","1990s","1996, 1998"
"attreg","1990s","1996, 1998"
"mediarel","1990s","1996, 1998"
"othrel","1990s","1996, 1998"
"attweek","1990s","1996"
"religid","1990s","1996, 1998"
"relid1","2000s","2000"
"relid2","2000s","2000"
"cathid","1990s","1998"
"cathid","2000s","2000"
"charisma","2000s","2000"
"relate1","1970s","1975, 1976, 1977, 1978"
"relate1","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"relate1","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"relate1","2000s","2000, 2002, 2004, 2006, 2008"
"relate1","2010s","2010, 2012, 2014, 2016, 2018"
"relate1","2020s","2021, 2022"
"gender1","1970s","1975, 1976, 1977, 1978"
"gender1","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"gender1","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"gender1","2000s","2000, 2002, 2004, 2006, 2008"
"gender1","2010s","2010, 2012, 2014, 2016, 2018"
"gender1","2020s","2021, 2022"
"mar1","1970s","1975, 1976, 1977, 1978"
"mar1","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"mar1","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"mar1","2000s","2000, 2002, 2004, 2006, 2008"
"mar1","2010s","2010, 2012, 2014, 2016, 2018"
"mar1","2020s","2021, 2022"
"relate2","1970s","1975, 1976, 1977, 1978"
"relate2","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"relate2","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"relate2","2000s","2000, 2002, 2004, 2006, 2008"
"relate2","2010s","2010, 2012, 2014, 2016, 2018"
"relate2","2020s","2021, 2022"
"gender2","1970s","1975, 1976, 1977, 1978"
"gender2","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"gender2","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"gender2","2000s","2000, 2002, 2004, 2006, 2008"
"gender2","2010s","2010, 2012, 2014, 2016, 2018"
"gender2","2020s","2021, 2022"
"mar2","1970s","1975, 1976, 1977, 1978"
"mar2","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"mar2","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"mar2","2000s","2000, 2002, 2004, 2006, 2008"
"mar2","2010s","2010, 2012, 2014, 2016, 2018"
"mar2","2020s","2021, 2022"
"away2","1970s","1975, 1976, 1977, 1978"
"away2","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"away2","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"away2","2000s","2000, 2004, 2006, 2008"
"away2","2010s","2010, 2012, 2014, 2016, 2018"
"away2","2020s","2022"
"where2","1970s","1975, 1976, 1977, 1978"
"where2","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"where2","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"where2","2000s","2000, 2004, 2006, 2008"
"where2","2010s","2010, 2012, 2014, 2016, 2018"
"where2","2020s","2022"
"relate3","1970s","1975, 1976, 1977, 1978"
"relate3","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"relate3","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"relate3","2000s","2000, 2002, 2004, 2006, 2008"
"relate3","2010s","2010, 2012, 2014, 2016, 2018"
"relate3","2020s","2021, 2022"
"gender3","1970s","1975, 1976, 1977, 1978"
"gender3","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"gender3","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"gender3","2000s","2000, 2002, 2004, 2006, 2008"
"gender3","2010s","2010, 2012, 2014, 2016, 2018"
"gender3","2020s","2021, 2022"
"mar3","1970s","1975, 1976, 1977, 1978"
"mar3","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"mar3","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"mar3","2000s","2000, 2002, 2004, 2006, 2008"
"mar3","2010s","2010, 2012, 2014, 2016, 2018"
"mar3","2020s","2021, 2022"
"away3","1970s","1975, 1976, 1977, 1978"
"away3","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1989"
"away3","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"away3","2000s","2000, 2004, 2006, 2008"
"away3","2010s","2010, 2012, 2014, 2016, 2018"
"away3","2020s","2022"
"where3","1970s","1975, 1976, 1977, 1978"
"where3","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1989"
"where3","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"where3","2000s","2000, 2004, 2006, 2008"
"where3","2010s","2010, 2012, 2014, 2016, 2018"
"where3","2020s","2022"
"relate4","1970s","1975, 1976, 1977, 1978"
"relate4","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"relate4","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"relate4","2000s","2000, 2002, 2004, 2006, 2008"
"relate4","2010s","2010, 2012, 2014, 2016, 2018"
"relate4","2020s","2021, 2022"
"gender4","1970s","1975, 1976, 1977, 1978"
"gender4","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"gender4","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"gender4","2000s","2000, 2002, 2004, 2006, 2008"
"gender4","2010s","2010, 2012, 2014, 2016, 2018"
"gender4","2020s","2021, 2022"
"mar4","1970s","1975, 1976, 1977, 1978"
"mar4","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"mar4","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"mar4","2000s","2000, 2002, 2004, 2006, 2008"
"mar4","2010s","2010, 2012, 2014, 2016, 2018"
"mar4","2020s","2021, 2022"
"relate5","1970s","1975, 1976, 1977, 1978"
"relate5","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"relate5","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"relate5","2000s","2000, 2002, 2004, 2006, 2008"
"relate5","2010s","2010, 2012, 2014, 2016, 2018"
"relate5","2020s","2021, 2022"
"gender5","1970s","1975, 1976, 1977, 1978"
"gender5","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"gender5","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"gender5","2000s","2000, 2002, 2004, 2006, 2008"
"gender5","2010s","2010, 2012, 2014, 2016, 2018"
"gender5","2020s","2021, 2022"
"mar5","1970s","1975, 1976, 1977, 1978"
"mar5","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"mar5","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"mar5","2000s","2000, 2002, 2004, 2006, 2008"
"mar5","2010s","2010, 2012, 2014, 2016, 2018"
"mar5","2020s","2021, 2022"
"relate6","1970s","1975, 1976, 1977, 1978"
"relate6","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"relate6","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"relate6","2000s","2000, 2002, 2004, 2006, 2008"
"relate6","2010s","2010, 2012, 2014, 2016, 2018"
"relate6","2020s","2021, 2022"
"gender6","1970s","1975, 1976, 1977, 1978"
"gender6","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"gender6","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"gender6","2000s","2000, 2002, 2004, 2006, 2008"
"gender6","2010s","2010, 2012, 2014, 2016, 2018"
"gender6","2020s","2021, 2022"
"mar6","1970s","1975, 1976, 1977, 1978"
"mar6","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"mar6","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"mar6","2000s","2000, 2002, 2004, 2006, 2008"
"mar6","2010s","2010, 2012, 2014, 2016, 2018"
"mar6","2020s","2021, 2022"
"relate7","1970s","1975, 1976, 1977, 1978"
"relate7","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"relate7","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"relate7","2000s","2000, 2002, 2004, 2006, 2008"
"relate7","2010s","2010, 2012, 2014, 2016, 2018"
"relate7","2020s","2021, 2022"
"gender7","1970s","1975, 1976, 1977, 1978"
"gender7","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"gender7","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"gender7","2000s","2000, 2002, 2004, 2006, 2008"
"gender7","2010s","2010, 2012, 2014, 2016, 2018"
"gender7","2020s","2021, 2022"
"relate11","1970s","1975, 1976, 1977, 1978"
"relate11","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"relate11","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"relate11","2000s","2000, 2002, 2004, 2006, 2008"
"relate11","2010s","2010, 2012, 2014, 2016, 2018"
"relate11","2020s","2021, 2022"
"gender11","1970s","1975, 1976, 1977, 1978"
"gender11","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"gender11","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"gender11","2000s","2000, 2002, 2004, 2006, 2008"
"gender11","2010s","2010, 2012, 2014, 2016, 2018"
"gender11","2020s","2021, 2022"
"mar11","1970s","1975, 1976, 1977, 1978"
"mar11","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"mar11","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"mar11","2000s","2000, 2002, 2004, 2006, 2008"
"mar11","2010s","2010, 2012, 2014, 2016, 2018"
"mar11","2020s","2021, 2022"
"relhhd1","1990s","1993, 1994, 1996, 1998"
"relhhd1","2000s","2000, 2002, 2004, 2006, 2008"
"relhhd1","2010s","2010, 2012, 2014, 2016, 2018"
"relhhd1","2020s","2021, 2022"
"hhrace","1970s","1975, 1976, 1977, 1978"
"hhrace","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"hhrace","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"hhrace","2000s","2000, 2002, 2004, 2006, 2008"
"hhrace","2010s","2010, 2012, 2014, 2016, 2018"
"hhrace","2020s","2022, 2024"
"famgen","1970s","1975, 1976, 1977, 1978"
"famgen","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"famgen","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"famgen","2000s","2000, 2002, 2004, 2006, 2008"
"famgen","2010s","2010, 2012, 2014, 2016, 2018"
"famgen","2020s","2021, 2022, 2024"
"rplace","1970s","1975, 1976, 1977, 1978"
"rplace","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"rplace","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"rplace","2000s","2000, 2002, 2004, 2006, 2008"
"rplace","2010s","2010, 2012, 2014, 2016, 2018"
"rplace","2020s","2021, 2022, 2024"
"rvisitor","1970s","1975, 1976, 1977, 1978"
